tick,pitch,yaw,steamid,name,label
2341,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2342,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2343,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2344,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2345,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2346,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2347,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2348,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2349,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2350,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2351,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2352,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2353,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2354,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2355,-1.0117798,49.996033,76561199847502271,Rizqoq,1
2356,-1.0059357,50.006683,76561199847502271,Rizqoq,1
2357,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2358,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2359,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2360,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2361,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2362,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2363,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2364,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2365,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2366,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2367,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2368,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2369,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2370,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2371,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2372,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2373,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2374,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2375,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2376,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2377,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2378,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2379,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2380,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2381,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2382,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2383,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2384,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2385,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2386,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2387,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2388,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2389,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2390,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2391,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2392,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2393,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2394,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2395,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2396,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2397,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2398,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2399,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2400,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2401,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2402,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2403,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2404,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2405,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2406,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2407,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2408,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2409,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2410,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2411,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2412,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2413,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2414,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2415,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2416,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2417,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2418,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2419,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2420,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2421,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2422,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2423,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2424,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2425,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2426,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2427,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2428,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2429,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2430,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2431,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2432,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2433,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2434,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2435,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2436,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2437,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2438,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2439,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2440,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2441,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2442,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2443,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2444,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2445,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2446,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2447,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2448,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2449,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2450,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2451,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2452,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2453,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2454,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2455,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2456,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2457,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2458,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2459,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2460,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2461,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2462,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2463,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2464,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2465,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2466,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2467,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2468,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2469,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2470,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2471,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2472,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2473,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2474,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2475,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2476,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2477,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2478,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2479,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2480,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2481,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2482,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2483,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2484,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2485,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2486,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2487,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2488,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2489,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2490,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2491,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2492,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2493,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2494,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2495,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2496,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2497,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2498,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2499,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2500,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2501,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2502,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2503,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2504,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2505,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2506,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2507,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2508,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2509,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2510,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2511,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2512,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2513,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2514,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2515,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2516,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2517,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2518,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2519,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2520,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2521,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2522,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2523,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2524,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2525,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2526,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2527,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2528,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2529,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2530,-1.3496094,84.648285,76561199847502271,Rizqoq,1
2531,-1.3496094,84.648285,76561199847502271,Rizqoq,1
